268408,268410
170424,170434
401221,401229
816795,816752
399203,399212
532389,42095
836950,836808
174054,174065
845041,709625
42832,42833
360077,360079
293645,293648
827034,714459
452004,422760
348197,348206
91241,91242
810353,810360
726998,727006
759024,759023
934749,934750
660181,660189
922393,922397
244549,244548
853884,743247
350419,350425
940753,940762
910457,447793
634565,634571
847463,847464
243782,238918
689806,689813
298936,298942
392208,392214
300921,220153
387697,387700
74960,74962
538654,538655
531041,97051
571671,571677
940054,939042
214508,214517
131108,131113
29953,29936
222625,222636
565720,720231
277864,277866
743034,24144
289531,284888
715726,715673
505867,502322
257820,257826
313244,273884
366187,366188
902897,902907
527429,527430
96139,96132
766364,766375
823215,823225
667297,667298
883666,883672
916635,916645
458439,431441
252795,252801
546497,546506
599130,599129
177261,177271
116373,116380
798023,71159
478952,478963
914336,57257
716262,40262
368025,368035
591242,23054
638535,638541
929243,929242
308074,237719
586728,586736
585020,585019
753602,570834
799122,799131
764891,764892
495929,495936
478667,477637
464619,464624
652185,652192
402857,385174
910409,910419
884071,5648
652737,19158
606804,68610
340550,340560
857838,857840
105942,105945
820938,515090
438859,438863
639026,638996
493685,493686
235552,235558
599463,599334
655071,655040
